,y,Value
168,y169,"tf.Tensor(0.033390756162347865, shape=(), dtype=float64)"
169,y170,"tf.Tensor(0.03214270686028911, shape=(), dtype=float64)"
170,y171,"tf.Tensor(0.032807020561082256, shape=(), dtype=float64)"
171,y172,"tf.Tensor(0.03343262530930222, shape=(), dtype=float64)"
172,y173,"tf.Tensor(0.03478529472943003, shape=(), dtype=float64)"
173,y174,"tf.Tensor(0.03220630791887842, shape=(), dtype=float64)"
174,y175,"tf.Tensor(0.033771040171613184, shape=(), dtype=float64)"
175,y176,"tf.Tensor(0.033193774580329585, shape=(), dtype=float64)"
176,y177,"tf.Tensor(0.03486516793550733, shape=(), dtype=float64)"
177,y178,"tf.Tensor(0.03321769146491527, shape=(), dtype=float64)"
178,y179,"tf.Tensor(0.03336894180615718, shape=(), dtype=float64)"
179,y180,"tf.Tensor(0.03296520394790492, shape=(), dtype=float64)"
180,y181,"tf.Tensor(0.03295808782824322, shape=(), dtype=float64)"
181,y182,"tf.Tensor(0.03366346662741394, shape=(), dtype=float64)"
182,y183,"tf.Tensor(0.031327976905982005, shape=(), dtype=float64)"
183,y184,"tf.Tensor(0.03249390514963123, shape=(), dtype=float64)"
184,y185,"tf.Tensor(0.03303523009801368, shape=(), dtype=float64)"
185,y186,"tf.Tensor(0.03277205074540575, shape=(), dtype=float64)"
186,y187,"tf.Tensor(0.031401477661658676, shape=(), dtype=float64)"
187,y188,"tf.Tensor(0.03323090332150745, shape=(), dtype=float64)"
188,y189,"tf.Tensor(0.033155566756961755, shape=(), dtype=float64)"
189,y190,"tf.Tensor(0.033016823503252815, shape=(), dtype=float64)"
190,y191,"tf.Tensor(0.03284514658013493, shape=(), dtype=float64)"
191,y192,"tf.Tensor(0.033343899919187556, shape=(), dtype=float64)"
192,y193,"tf.Tensor(0.03279790727541214, shape=(), dtype=float64)"
193,y194,"tf.Tensor(0.03240380688429739, shape=(), dtype=float64)"
194,y195,"tf.Tensor(0.03431687696097377, shape=(), dtype=float64)"
195,y196,"tf.Tensor(0.03320765069065768, shape=(), dtype=float64)"
196,y197,"tf.Tensor(0.03295833705191573, shape=(), dtype=float64)"
197,y198,"tf.Tensor(0.031946130020796756, shape=(), dtype=float64)"
198,y199,"tf.Tensor(0.03215788144516696, shape=(), dtype=float64)"
199,y200,"tf.Tensor(0.031689613152690393, shape=(), dtype=float64)"
200,y201,"tf.Tensor(0.030513650831779836, shape=(), dtype=float64)"
201,y202,"tf.Tensor(0.030545627143351704, shape=(), dtype=float64)"
202,y203,"tf.Tensor(0.030659824963714936, shape=(), dtype=float64)"
203,y204,"tf.Tensor(0.030880615231650123, shape=(), dtype=float64)"
204,y205,"tf.Tensor(0.031154269916349155, shape=(), dtype=float64)"
205,y206,"tf.Tensor(0.032025868354433704, shape=(), dtype=float64)"
206,y207,"tf.Tensor(0.0330879311560616, shape=(), dtype=float64)"
207,y208,"tf.Tensor(0.0315316734095364, shape=(), dtype=float64)"
208,y209,"tf.Tensor(0.0314688397612871, shape=(), dtype=float64)"
209,y210,"tf.Tensor(0.030319108674208027, shape=(), dtype=float64)"
210,y211,"tf.Tensor(0.03105528331485505, shape=(), dtype=float64)"
211,y212,"tf.Tensor(0.03134448403340467, shape=(), dtype=float64)"
212,y213,"tf.Tensor(0.03045670439505579, shape=(), dtype=float64)"
213,y214,"tf.Tensor(0.030735815773100857, shape=(), dtype=float64)"
214,y215,"tf.Tensor(0.0330716829722731, shape=(), dtype=float64)"
215,y216,"tf.Tensor(0.03204531192909054, shape=(), dtype=float64)"
216,y217,"tf.Tensor(0.03158413937734178, shape=(), dtype=float64)"
217,y218,"tf.Tensor(0.03247491549364635, shape=(), dtype=float64)"
218,y219,"tf.Tensor(0.03228451996319753, shape=(), dtype=float64)"
219,y220,"tf.Tensor(0.03176594620216651, shape=(), dtype=float64)"
220,y221,"tf.Tensor(0.03204155981328369, shape=(), dtype=float64)"
221,y222,"tf.Tensor(0.03463211568305071, shape=(), dtype=float64)"
222,y223,"tf.Tensor(0.0340116892757832, shape=(), dtype=float64)"
223,y224,"tf.Tensor(0.03220670337904819, shape=(), dtype=float64)"
224,y225,"tf.Tensor(0.0350393250084079, shape=(), dtype=float64)"
225,y226,"tf.Tensor(0.03443624251531234, shape=(), dtype=float64)"
226,y227,"tf.Tensor(0.035143012664442724, shape=(), dtype=float64)"
227,y228,"tf.Tensor(0.03375349512459158, shape=(), dtype=float64)"
228,y229,"tf.Tensor(0.032466738253430605, shape=(), dtype=float64)"
229,y230,"tf.Tensor(0.03458116441422425, shape=(), dtype=float64)"
230,y231,"tf.Tensor(0.03438454437604632, shape=(), dtype=float64)"
231,y232,"tf.Tensor(0.035232002575152827, shape=(), dtype=float64)"
232,y233,"tf.Tensor(0.036090049776658265, shape=(), dtype=float64)"
233,y234,"tf.Tensor(0.03785616314321205, shape=(), dtype=float64)"
234,y235,"tf.Tensor(0.03603645137005942, shape=(), dtype=float64)"
235,y236,"tf.Tensor(0.03811136919492725, shape=(), dtype=float64)"
236,y237,"tf.Tensor(0.03797439847427361, shape=(), dtype=float64)"
237,y238,"tf.Tensor(0.03692126276734131, shape=(), dtype=float64)"
238,y239,"tf.Tensor(0.03651683516087474, shape=(), dtype=float64)"
239,y240,"tf.Tensor(0.03820587661347946, shape=(), dtype=float64)"
240,y241,"tf.Tensor(0.03651862228632627, shape=(), dtype=float64)"
241,y242,"tf.Tensor(0.038628715258194335, shape=(), dtype=float64)"
242,y243,"tf.Tensor(0.03905934245857368, shape=(), dtype=float64)"
243,y244,"tf.Tensor(0.04116103673446532, shape=(), dtype=float64)"
244,y245,"tf.Tensor(0.040012878776806336, shape=(), dtype=float64)"
245,y246,"tf.Tensor(0.04091097252485451, shape=(), dtype=float64)"
246,y247,"tf.Tensor(0.0407899666012356, shape=(), dtype=float64)"
247,y248,"tf.Tensor(0.043085206214012337, shape=(), dtype=float64)"
248,y249,"tf.Tensor(0.043286408829472364, shape=(), dtype=float64)"
249,y250,"tf.Tensor(0.04176014087926024, shape=(), dtype=float64)"
